Dates,Albania ALB,Austria AUT,Belgium BEL,Bulgaria BGR,Belarus BLR,Brazil BRA,Canada CAN,Switzerland CHE,Chile CHL,China CHN,Colombia COL,Costa Rica CRI,Cyprus CYP,Czech Republic CZE,Germany DEU,Denmark DNK,Dominican Republic DOM,"Egypt, Arab Rep. EGY",Spain ESP,Estonia EST,Finland FIN,France FRA,United Kingdom GBR,Greece GRC,Guatemala GTM,"Hong Kong SAR, China HKG",Honduras HND,Croatia HRV,Hungary HUN,Indonesia IDN,India IND,Ireland IRL,"Iran, Islamic Rep. IRN",Iraq IRQ,Iceland ISL,Israel ISR,Italy ITA,Jordan JOR,Japan JPN,"Korea, Rep. KOR",Kuwait KWT,"Lao, PDR LAO",Sri Lanka LKA,Lithuania LTU,Luxembourg LUX,Latvia LVA,"Moldova, Rep. MDA",Mexico MEX,North Macedonia MKD,Malta MLT,Montenegro MNE,Mauritius MUS,Malaysia MYS,Nigeria NGA,Nicaragua NIC,Netherlands NLD,Norway NOR,Nepal NPL,Peru PER,Philippines PHL,Poland POL,Portugal PRT,Paraguay PRY,Qatar QAT,Romania ROU,Russian Federation RUS,Singapore SGP,El Salvador SLV,Serbia SRB,Slovakia SVK,Slovenia SVN,Sweden SWE,Chad TCD,Thailand THA,Trinidad and Tobago TTO,Turkey TUR,"Taiwan, China TWN","Tanzania, United Rep. TZA",Uganda UGA,Ukraine UKR,United States USA,Kosovo XKX,South Africa ZAF
1970-01-01,,21.1,,,,,17.2,32.7,,,,,,,30.0,13.8,,,,,12.1,15.0,8.9,1.4,,,,,,,,,,,,0.0,5.4,,30.9,,,,,,19.7,,,,,,,,,,,21.0,,,,,,1.5,,,,,,,,,,14.1,,,,,,,,,16.3,,
1970-02-01,,21.2,,,,,17.2,32.7,,,,,,,30.1,13.9,,,,,12.1,15.1,9.0,1.4,,,,,,,,,,,,0.0,5.5,,30.9,,,,,,19.8,,,,,,,,,,,21.2,,,,,,1.5,,,,,,,,,,14.3,,,,,,,,,16.4,,
1970-03-01,,21.3,,,,,17.2,32.8,,,,,,,30.2,14.0,,,,,12.1,15.1,9.0,1.4,,,,,,,,,,,,0.0,5.5,,31.1,,,,,,19.9,,,,,,,,,,,21.4,,,,,,1.5,,,,,,,,,,14.4,,,,,,,,,16.6,,
1970-04-01,,21.4,,,,,17.2,32.9,,,,,,,30.4,14.0,,,,,12.2,15.2,9.2,1.5,,,,,,,,,,,,0.0,5.5,,31.5,,,,,,19.9,,,,,,,,,,,21.5,,,,,,1.5,,,,,,,,,,14.4,,,,,,,,,16.6,,
1970-05-01,,21.5,,,,,17.3,33.2,,,,,,,30.4,14.2,,,,,12.2,15.2,9.2,1.5,,,,,,,,,,,,0.0,5.5,,31.6,,,,,,20.1,,,,,,,,,,,21.5,,,,,,1.5,,,,,,,,,,14.5,,,,,,,,,16.7,,
1970-06-01,,21.5,,,,,17.3,33.3,,,,,,,30.4,14.2,,,,,12.2,15.3,9.2,1.4,,,,,,,,,,,,0.0,5.5,,31.7,,,,,,20.1,,,,,,,,,,,21.6,,,,,,1.6,,,,,,,,,,14.5,,,,,,,,,16.8,,
1970-07-01,,21.5,,,,,17.4,33.4,,,,,,,30.4,14.4,,,,,12.2,15.3,9.3,1.4,,,,,,,,,,,,0.0,5.5,,31.7,,,,,,20.2,,,,,,,,,,,21.6,,,,,,1.6,,,,,,,,,,14.6,,,,,,,,,16.9,,
1970-08-01,,21.7,,,,,17.4,33.4,,,,,,,30.4,14.5,,,,,12.2,15.4,9.3,1.4,,,,,,,,,,,,0.0,5.5,,31.7,,,,,,20.2,,,,,,,,,,,21.8,,,,,,1.6,,,,,,,,,,14.7,,,,,,,,,16.9,,
1970-09-01,,21.8,,,,,17.4,33.6,,,,,,,30.5,14.6,,,,,12.2,15.4,9.4,1.4,,,,,,,,,,,,0.0,5.6,,32.1,,,,,,20.3,,,,,,,,,,,22.0,,,,,,1.6,,,,,,,,,,14.7,,,,,,,,,17.0,,
1970-10-01,,21.9,,,,,17.4,33.7,,,,,,,30.6,14.6,,,,,12.3,15.5,9.5,1.5,,,,,,,,,,,,0.0,5.6,,32.5,,,,,,20.3,,,,,,,,,,,22.1,,,,,,1.6,,,,,,,,,,14.8,,,,,,,,,17.2,,
1970-11-01,,21.9,,,,,17.5,34.1,,,,,,,30.7,14.7,,,,,12.3,15.6,9.5,1.5,,,,,,,,,,,,0.0,5.7,,32.6,,,,,,20.4,,,,,,,,,,,22.2,,,,,,1.6,,,,,,,,,,14.9,,,,,,,,,17.3,,
1970-12-01,,22.0,,,,,17.4,34.3,,,,,,,31.0,14.7,,,,,12.3,15.6,9.6,1.5,,,,,,,,,,,,0.0,5.7,,32.8,,,,,,20.4,,,,,,,,,,,22.2,,,,,,1.6,,,,,,,,,,15.0,,,,,,,,,17.4,,
1971-01-01,,22.1,,,,,17.5,34.4,,,,,,,31.3,14.7,,,,,12.4,15.7,9.7,1.5,,,,,,,,,,,,0.0,5.7,,33.0,,,,,,20.6,,,,,,,,,,,22.5,,,,,,1.7,,,,,,,,,,15.4,,,,,,,,,17.4,,
1971-02-01,,22.2,,,,,17.5,34.5,,,,,,,31.5,14.7,,,,,12.5,15.8,9.8,1.5,,,,,,,,,,,,0.0,5.8,,33.0,,,,,,20.7,,,,,,,,,,,22.8,,,,,,1.7,,,,,,,,,,15.4,,,,,,,,,17.4,,
1971-03-01,,22.3,,,,,17.5,34.8,,,,,,,31.7,14.7,,,,,12.6,15.8,9.8,1.5,,,,,,,,,,,,0.0,5.8,,33.2,,,,,,20.9,,,,,,,,,,,23.0,,,,,,1.7,,,,,,,,,,15.4,,,,,,,,,17.4,,
1971-04-01,,22.4,,,,,17.7,34.8,,,,,,,31.9,14.8,,,,,12.7,15.9,10.0,1.5,,,,,,,,,,,,0.0,5.8,,33.7,,,,,,20.9,,,,,,,,,,,23.3,,,,,,1.8,,,,,,,,,,15.4,,,,,,,,,17.5,,
1971-05-01,,22.5,,,,,17.6,35.3,,,,,,,32.0,15.1,,,,,12.7,16.0,10.1,1.5,,,,,,,,,,,,0.0,5.8,,33.9,,,,,,21.0,,,,,,,,,,,23.4,,,,,,1.8,,,,,,,,,,15.4,,,,,,,,,17.6,,
1971-06-01,,22.7,,,,,17.7,35.4,,,,,,,32.1,15.1,,,,,13.0,16.1,10.1,1.5,,,,,,,,,,,,0.0,5.8,,34.0,,,,,,21.1,,,,,,,,,,,23.5,,,,,,1.8,,,,,,,,,,15.4,,,,,,,,,17.7,,
1971-07-01,,22.8,,,,,17.9,35.6,,,,,,,32.3,15.1,,,,,13.1,16.1,10.2,1.5,,,,,,,,,,,,0.0,5.9,,34.1,,,,,,21.1,,,,,,,,,,,23.5,,,,,,1.8,,,,,,,,,,15.5,,,,,,,,,17.7,,
1971-08-01,,22.9,,,,,18.0,35.6,,,,,,,32.3,15.2,,,,,13.2,16.2,10.2,1.5,,,,,,,,,,,,0.0,5.9,,34.1,,,,,,21.2,,,,,,,,,,,23.6,,,,,,1.8,,,,,,,,,,15.6,,,,,,,,,17.7,,
1971-09-01,,23.0,,,,,18.0,35.9,,,,,,,32.4,15.3,,,,,13.3,16.3,10.2,1.5,,,,,,,,,,,,0.0,5.9,,34.5,,,,,,21.3,,,,,,,,,,,23.9,,,,,,1.9,,,,,,,,,,15.6,,,,,,,,,17.8,,
1971-10-01,,23.1,,,,,18.1,36.1,,,,,,,32.6,15.3,,,,,13.3,16.4,10.3,1.5,,,,,,,,,,,,0.0,5.9,,34.7,,,,,,21.4,,,,,,,,,,,24.1,,,,,,1.9,,,,,,,,,,15.8,,,,,,,,,17.8,,
1971-11-01,,23.1,,,,,18.1,36.6,,,,,,,32.6,15.5,,,,,13.4,16.4,10.3,1.5,,,,,,,,,,,,0.0,6.0,,34.7,,,,,,21.5,,,,,,,,,,,24.1,,,,,,2.0,,,,,,,,,,15.8,,,,,,,,,17.9,,
1971-12-01,,23.1,,,,,18.2,36.8,,,,,,,32.7,15.5,,,,,13.4,16.5,10.4,1.5,,,,,,,,,,,,0.0,6.0,,34.7,,,,,,21.6,,,,,,,,,,,24.2,,,,,,1.9,,,,,,,,,,16.0,,,,,,,,,17.9,,
1972-01-01,,23.4,,,,,18.2,37.0,,,,,,,33.1,15.5,,,,,13.2,16.5,10.4,1.5,,,,,,,,,,,,0.0,6.0,,34.7,,,,,,21.7,,,,,,,,,,,24.5,,,,,,1.9,,,,,,,,,,16.1,,,,,,,,,17.9,,
1972-02-01,,23.6,,,,,18.3,37.2,,,,,,,33.2,15.6,,,,,13.3,16.6,10.5,1.5,,,,,,,,,,,,0.0,6.1,,35.0,,,,,,21.7,,,,,,,,,,,24.7,,,,,,2.0,,,,,,,,,,16.2,,,,,,,,,18.0,,
1972-03-01,,23.8,,,,,18.4,37.3,,,,,,,33.5,15.7,,,,,13.4,16.7,10.5,1.5,,,,,,,,,,,,0.0,6.1,,35.2,,,,,,21.8,,,,,,,,,,,24.9,,,,,,2.0,,,,,,,,,,16.2,,,,,,,,,18.0,,
1972-04-01,,23.9,,,,,18.5,37.4,,,,,,,33.6,15.8,,,,,13.6,16.8,10.6,1.6,,,,,,,,,,,,0.0,6.1,,35.6,,,,,,21.8,,,,,,,,,,,25.3,,,,,,2.0,,,,,,,,,,16.3,,,,,,,,,18.0,,
1972-05-01,,24.0,,,,,18.5,37.9,,,,,,,33.6,16.0,,,,,13.7,16.9,10.7,1.6,,,,,,,,,,,,0.0,6.1,,35.8,,,,,,21.9,,,,,,,,,,,25.4,,,,,,2.0,,,,,,,,,,16.4,,,,,,,,,18.1,,
1972-06-01,,24.1,,,,,18.5,38.0,,,,,,,33.7,16.0,,,,,13.8,17.0,10.7,1.6,,,,,,,,,,,,0.0,6.2,,35.9,,,,,,22.1,,,,,,,,,,,25.4,,,,,,2.0,,,,,,,,,,16.4,,,,,,,,,18.2,,
1972-07-01,,24.1,,,,,18.7,38.0,,,,,,,34.0,16.1,,,,,13.9,17.1,10.8,1.6,,,,,,,,,,,,0.0,6.2,,36.0,,,,,,22.3,,,,,,,,,,,25.3,,,,,,2.0,,,,,,,,,,16.5,,,,,,,,,18.2,,
1972-08-01,,24.2,,,,,18.8,38.1,,,,,,,34.0,16.1,,,,,13.9,17.2,10.9,1.5,,,,,,,,,,,,0.0,6.2,,36.1,,,,,,22.4,,,,,,,,,,,25.5,,,,,,2.0,,,,,,,,,,16.6,,,,,,,,,18.3,,
